name,stage,points_scale,parcours_type,year,month,day,type,length,profile_score,avg_speed,vertical_meters,won_how,place,rider,team,age,time
strade-bianche-donne,,F-WWT,p3,2022.0,3.0,5.0,one-day-race,136.0,111.0,34.109 km/h,1944.0,sprint a deux,1.0,KOPECKY Lotte,Team SD Worx,26.0,0.0
strade-bianche-donne,,F-WWT,p3,2022.0,3.0,5.0,one-day-race,136.0,111.0,34.109 km/h,1944.0,sprint a deux,2.0,VAN VLEUTEN Annemiek,Movistar Team,39.0,0.0
strade-bianche-donne,,F-WWT,p3,2022.0,3.0,5.0,one-day-race,136.0,111.0,34.109 km/h,1944.0,sprint a deux,3.0,MOOLMAN Ashleigh,Team SD Worx,36.0,10.0
strade-bianche-donne,,F-WWT,p3,2022.0,3.0,5.0,one-day-race,136.0,111.0,34.109 km/h,1944.0,sprint a deux,4.0,NIEWIADOMA Katarzyna,Canyon//SRAM Racing,27.0,19.0
strade-bianche-donne,,F-WWT,p3,2022.0,3.0,5.0,one-day-race,136.0,111.0,34.109 km/h,1944.0,sprint a deux,5.0,LUDWIG Cecilie Uttrup,FDJ Nouvelle-Aquitaine Futuroscope,26.0,24.0
strade-bianche-donne,,F-WWT,p3,2022.0,3.0,5.0,one-day-race,136.0,111.0,34.109 km/h,1944.0,sprint a deux,6.0,CHABBEY Elise,Canyon//SRAM Racing,28.0,28.0
strade-bianche-donne,,F-WWT,p3,2022.0,3.0,5.0,one-day-race,136.0,111.0,34.109 km/h,1944.0,sprint a deux,7.0,VOS Marianne,Team Jumbo-Visma,34.0,29.0
strade-bianche-donne,,F-WWT,p3,2022.0,3.0,5.0,one-day-race,136.0,111.0,34.109 km/h,1944.0,sprint a deux,8.0,LONGO BORGHINI Elisa,Trek - Segafredo,30.0,29.0
strade-bianche-donne,,F-WWT,p3,2022.0,3.0,5.0,one-day-race,136.0,111.0,34.109 km/h,1944.0,sprint a deux,9.0,VAN ANROOIJ Shirin,Trek - Segafredo,20.0,34.0
strade-bianche-donne,,F-WWT,p3,2022.0,3.0,5.0,one-day-race,136.0,111.0,34.109 km/h,1944.0,sprint a deux,10.0,PERSICO Silvia,Valcar - Travel & Service,24.0,34.0
strade-bianche-donne,,F-WWT,p3,2022.0,3.0,5.0,one-day-race,136.0,111.0,34.109 km/h,1944.0,sprint a deux,11.0,BROWN Grace,FDJ Nouvelle-Aquitaine Futuroscope,29.0,39.0
strade-bianche-donne,,F-WWT,p3,2022.0,3.0,5.0,one-day-race,136.0,111.0,34.109 km/h,1944.0,sprint a deux,12.0,VOLLERING Demi,Team SD Worx,25.0,50.0
strade-bianche-donne,,F-WWT,p3,2022.0,3.0,5.0,one-day-race,136.0,111.0,34.109 km/h,1944.0,sprint a deux,13.0,LIPPERT Liane,Team DSM,24.0,97.0
strade-bianche-donne,,F-WWT,p3,2022.0,3.0,5.0,one-day-race,136.0,111.0,34.109 km/h,1944.0,sprint a deux,14.0,MACKAIJ Floortje,Team DSM,26.0,99.0
strade-bianche-donne,,F-WWT,p3,2022.0,3.0,5.0,one-day-race,136.0,111.0,34.109 km/h,1944.0,sprint a deux,15.0,KASTELIJN Yara,Plantur-Pura,24.0,113.0
strade-bianche-donne,,F-WWT,p3,2022.0,3.0,5.0,one-day-race,136.0,111.0,34.109 km/h,1944.0,sprint a deux,16.0,VAN DEN BROEK-BLAAK Chantal,Team SD Worx,32.0,127.0
strade-bianche-donne,,F-WWT,p3,2022.0,3.0,5.0,one-day-race,136.0,111.0,34.109 km/h,1944.0,sprint a deux,17.0,KOSTER Anouska,Team Jumbo-Visma,28.0,204.0
strade-bianche-donne,,F-WWT,p3,2022.0,3.0,5.0,one-day-race,136.0,111.0,34.109 km/h,1944.0,sprint a deux,18.0,ROSEMAN-GANNON Ruby,Team BikeExchange - Jayco,23.0,208.0
strade-bianche-donne,,F-WWT,p3,2022.0,3.0,5.0,one-day-race,136.0,111.0,34.109 km/h,1944.0,sprint a deux,19.0,PALADIN Soraya,Canyon//SRAM Racing,28.0,208.0
strade-bianche-donne,,F-WWT,p3,2022.0,3.0,5.0,one-day-race,136.0,111.0,34.109 km/h,1944.0,sprint a deux,20.0,STULTIENS Sabrina,Liv Racing Xstra,28.0,208.0
